codigo,ciclo,dimensao,objetivo,meta,acao,campus,unidade_responsavel,responsavel_nome,indicador,linha_base,meta_anual,meta_2034,fonte_dados,evidencia_obrigatoria,periodicidade,status,risco,restricao_principal,acao_corretiva,ultima_atualizacao,proxima_revisao
M-001,2027-2034,Acesso e Inclusão,Ampliar o acesso com equidade,Elevar a taxa de ocupação de vagas para 95%,Campanha de captação e revisão da oferta,São Borja,Direção de Ensino,Coordenação de Ensino,Taxa de ocupação de vagas (%),88,92,95,SISTEC/SUAP,Relatório de matrículas,semestral,em execução,médio,Demanda regional irregular,Revisar oferta por eixo tecnológico,2026-03-01,2026-09-01
M-002,2027-2034,Permanência e Êxito,Reduzir a evasão escolar,Reduzir a evasão para abaixo de 12%,Programa de apoio pedagógico e busca ativa,São Borja,Coordenação de Assistência Estudantil,Equipe Multiprofissional,Taxa de evasão (%),18,15,12,PNP/Nilo Peçanha,Painel PNP anual,anual,em execução,alto,Equipe reduzida,Ampliar busca ativa e tutoria,2026-02-15,2026-08-15
M-003,2027-2034,Pesquisa e Inovação,Fortalecer a pesquisa aplicada,Dobrar o número de projetos de pesquisa com fomento,Editais internos e captação externa,Santa Maria,Pró-Reitoria de Pesquisa,Coordenação de Pesquisa,Nº de projetos com fomento,20,28,40,SUAP Pesquisa,Relatório de editais,anual,em planejamento,médio,Orçamento de fomento limitado,Buscar parcerias e emendas,2026-01-20,2026-12-20
M-004,2027-2034,Extensão,Ampliar o impacto territorial da extensão,Atingir 30 mil pessoas em ações de extensão/ano,Programas territoriais e cursos FIC,Santa Maria,Pró-Reitoria de Extensão,Coordenação de Extensão,Pessoas alcançadas/ano,18000,24000,30000,SUAP Extensão,Relatório de ações,anual,em execução,baixo,,,2026-03-10,2026-09-10
M-005,2027-2034,Gestão de Pessoas,Qualificar o quadro de servidores,Atingir 70% de docentes com doutorado,Plano de capacitação e afastamentos,,Diretoria de Gestão de Pessoas,DGP,% docentes com doutorado,52,60,70,SUAP/Sigepe,Relatório DGP,anual,em planejamento,médio,Limite de afastamentos simultâneos,Escalonar afastamentos,2026-02-01,2026-11-01
M-006,2027-2034,Infraestrutura,Modernizar laboratórios,Reformar 100% dos laboratórios prioritários,Plano de obras e aquisição de equipamentos,Júlio de Castilhos,Diretoria de Administração,DAP,% laboratórios reformados,30,55,100,Sistema de Obras,Termo de recebimento,anual,atrasada,alto,Restrição orçamentária de capital,Repactuar cronograma de obras,2025-12-01,2026-05-01
M-007,2027-2034,Sustentabilidade Financeira,Aumentar a captação de recursos externos,Captar R$ 5 mi/ano em recursos externos,Emendas / convênios e parcerias,,Pró-Reitoria de Administração,PROAD,Recursos externos captados (R$),1500000,3000000,5000000,SIAFI/SUAP,Relatório financeiro,trimestral,requer decisão,crítico,Dependência de emendas parlamentares,Levar à Câmara de Riscos,2026-01-10,2026-04-10
M-008,2027-2034,Avaliação Institucional,Consolidar a cultura de autoavaliação,Atingir 60% de participação na autoavaliação,Sensibilização e melhoria do instrumento CPA,,CPA,Comissão Própria de Avaliação,% participação autoavaliação,35,48,60,Sistema CPA,Relatório CPA,anual,em execução,médio,Baixa adesão histórica,Comunicação e devolutivas,2026-03-05,2026-10-05
M-009,2027-2034,Tecnologia da Informação,Garantir governança de dados,Implantar lakehouse e camada semântica do PDI,Projeto de dados e integração de fontes,,Diretoria de TI,DTI,% fontes integradas ao lakehouse,0,40,100,Arquitetura de dados,Documento técnico,semestral,não iniciada,alto,Equipe de dados insuficiente,Priorizar fontes críticas,2026-01-05,2026-07-05
M-010,2027-2034,Internacionalização,Ampliar a mobilidade acadêmica,Triplicar editais de mobilidade internacional,Acordos e editais de mobilidade,,Assessoria de Relações Internacionais,ARINTER,Nº de editais de mobilidade,3,6,9,SUAP/ARINTER,Relatório ARINTER,anual,suspensa,crítico,Sem orçamento de mobilidade,Repactuar meta com a Reitoria,2025-11-20,2026-03-20
